"","Sample_ID","OR","Project","Date_sampled","WY","FL","TW","Station_code","Site.Name","Region_USE","Lat","Long","Region_subdivided5"
"148","DM15022",425.831,"DM","2015-04-13",2015,69,2.96,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"149","DM15024",233.555,"DM","2015-05-19",2015,92,7.76,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"150","DM15025",209.184,"DM","2015-02-11",2015,38,0.29,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"151","DM15027",358.066,"DM","2015-02-09",2015,50,1.03,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"152","DM15028",450.301,"DM","2015-04-03",2015,70,3.39,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"153","DM15029",387.554,"DM","2015-04-03",2015,69,3.18,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"154","DM15030",235.751,"DM","2015-02-09",2015,35,0.28,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"155","DM15031",295.666,"DM","2015-02-20",2015,38,0.25,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"156","DM15032",318.589,"DM","2015-02-20",2015,43,0.55,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"157","DM15033",278.191,"DM","2015-02-23",2015,37,0.23,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"158","DM15034",223.692,"DM","2015-02-23",2015,34,0.21,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"159","DM15035",475.013,"DM","2015-05-01",2015,80,4.71,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"160","DM15037",432.98,"DM","2015-04-29",2015,80,4.11,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"161","DM15038",433.106,"DM","2015-04-29",2015,69,2.59,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"162","DM15040",275.746,"DM","2015-01-20",2015,41,0.56,"SR080E","Verona","excl",38.78414982,-121.6178397,"excl"
"163","DM15041",248.37,"DM","2015-01-20",2015,36,0.48,"SR080E","Verona","excl",38.78414982,-121.6178397,"excl"
"164","DM15052",276.876,"DM","2015-02-17",2015,39,0.49,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"165","DM15053",263.018,"DM","2015-02-17",2015,38,0.33,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"166","DM15057",327.432,"DM","2015-03-24",2015,52,1.25,"SR060E","Discovery Park","excl",38.60053595,-121.5091653,"excl"
"167","DM15058",370.311,"DM","2015-03-17",2015,57,1.95,"SR080E","Verona","excl",38.78414982,-121.6178397,"excl"
"168","DM15061",265.692,"DM","2015-02-26",2015,38,0.38,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"169","DM15062",311.2,"DM","2015-02-26",2015,42,0.56,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"170","DM15063",269.466,"DM","2015-02-19",2015,40,0.53,"SR119E","Tisdale","excl",39.02464916,-121.8220253,"excl"
"171","DM15066",369.887,"DM","2015-03-24",2015,67,3.19,"SR119E","Tisdale","excl",39.02464916,-121.8220253,"excl"
"172","DM15070",290.066,"DM","2015-02-03",2015,41,0.58,"SR080E","Verona","excl",38.78414982,-121.6178397,"excl"
"173","DM15072",325.188,"DM","2015-03-03",2015,45,0.78,"SR080E","Verona","excl",38.78414982,-121.6178397,"excl"
"174","DM15076",240.874,"DM","2015-01-08",2015,36,0.35,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"175","DM15077",232.784,"DM","2015-01-08",2015,37,0.28,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"176","DM15078",339.031,"DM","2015-03-20",2015,50,1.15,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
