"Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"WR15-80334",2012,710,0,0,0,0,"SAC"
"WR15-80336",2012,910,0,198.486,0,0,"AME"
"WR15-80337",2012,850,0,122.164,0,0,"AME"
"WR15-80341",2012,800,0,0,0,0,"SAC"
"WR15-80342",2012,710,0,0,0,0,"SAC"
"WR15-80359",2012,840,0,312.775,0,0,"AME"
"WR15-80364",2012,690,40.915,0,0,0,"LAS"
"WR15-80366",2012,750,0,0,0,0,"SAC"
"WR15-80368",2012,750,0,301.231,0,0,"AME"
"WR15-80375",2012,710,104.46,0,0,0,"LAS"
"WR15-80395",2012,870,0,0,0,228.921,"DEL"
"WR15-80396",2012,810,0,261.268,0,0,"AME"
"WR15-80398",2012,810,0,0,0,0,"SAC"
"WR15-80400",2012,700,0,0,0,0,"SAC"
"WR15-80424",2012,700,0,0,0,0,"SAC"
"WR15-80425",2012,870,0,0,0,0,"SAC"
"WR15-80427",2012,760,0,0,0,0,"SAC"
"WR15-80431",2012,690,0,0,0,208.575,"DEL"
"WR15-80439",2012,840,0,0,0,0,"SAC"
"WR15-80458",2012,880,0,0,0,204.233,"DEL"
"WR15-80470",2012,820,0,0,0,0,"SAC"
"WR15-80471",2012,850,83.5189999999999,0,0,0,"LAS"
"WR15-80474",2012,670,0,0,0,0,"SAC"
"WR15-80475",2012,830,0,0,0,0,"SAC"
"WR15-80491",2012,670,0,0,0,303.412,"DEL"
"WR15-80498",2012,790,0,0,0,0,"SAC"
"WR15-80509",2012,680,0,0,0,0,"SAC"
"WR15-80530",2012,720,0,0,0,0,"SAC"
"WR15-80539",2012,760,0,0,0,0,"SAC"
"WR15-80611",2012,700,0,0,0,0,"SAC"
"WR15-80616",2012,740,0,268.939,0,0,"AME"
"WR15-80671",2012,710,0,0,0,0,"SAC"
"WR16.5001",2013,800,0,0,0,0,"SAC"
"WR16.5002",2012,880,0,0,0,0,"SAC"
"WR16.5003",2012,880,0,0,0,0,"SAC"
"WR16.5004",2012,790,0,0,0,0,"SAC"
"WR16.5005",2013,750,0,0,0,0,"SAC"
"WR16.5006",2013,700,0,0,0,0,"SAC"
"WR16.5007",2013,830,0,0,0,0,"SAC"
"WR16.5008",2013,715,0,0,0,0,"SAC"
"WR16.5010",2014,635,0,0,0,0,"SAC"
"WR16.5011",2013,870,0,0,0,0,"SAC"
"WR16.5012",2013,730,0,0,0,0,"SAC"
"WR16.5013",2012,865,0,0,0,0,"SAC"
"WR16.5014",2012,770,0,0,0,0,"SAC"
