"","Sample_ID","FWDist_8786","FWDist_SrV","FWExit_dist"
"302","WR15-7081",706.3153,672.974352438904,706.3153
"303","WR15-7086",647.339,626.272470606215,647.339
"304","WR15-7091",767.6895,768.999102980838,767.6895
"305","WR15-7099",613.9741,NA,613.9741
"306","WR15-7102",653.5788,659.21480889451,653.5788
"307","WR15-7107",698.3989,714.27664561317,698.3989
"308","WR15-7110",632.8718,454.672643556593,632.8718
"309","WR15-7113",578.6594,566.833323052031,578.6594
"310","WR15-7116",607.1593,591.721459577767,607.1593
"311","WR15-7120",576.1596,589.897200853605,576.1596
"312","WR15-7125",626.2723,597.701095339154,626.2723
"313","WR15-7129",594.7804,594.856913546095,594.7804
"314","WR15-7142",581.9551,576.482160812632,581.9551
"315","WR15-7146",583.2359,562.202252106728,583.2359
"316","WR15-7150",635.4547,649.734540328739,635.4547
"317","WR15-7155",562.343,588.578019960567,562.343
"318","WR15-7160",650.6995,677.835956037952,650.6995
"319","WR15-7166",540.3268,574.961234380883,540.3268
"320","WR15-7172",594.5039,569.830647452604,594.5039
"321","WR15-7179",643.6479,544.549798929227,643.6479
"322","WR15-7187",657.9929,653.817899741007,657.9929
"323","WR15-7189",641.0074,614.339218531745,641.0074
"324","WR15-7193",626.56,596.267077697198,626.56
"325","WR15-7198",669.2457,662.585440937464,669.2457
"326","WR15-7202",596.5455,593.296633846955,596.5455
"327","WR15-7206",637.3428,628.978903232907,637.3428
"328","WR15-7207",664.1666,518.590127895371,664.1666
"329","WR15-7212",616.1229,594.76375360034,616.1229
"330","WR15-7216",565.0038,549.756316959985,565.0038
"331","WR15-7239",588.4206,590.235148034019,588.4206
"332","WR15-7244",571.4045,567.947490544723,571.4045
"333","WR15-7250",570.7197,587.966197507369,570.7197
"334","WR15-7254",657.8442,615.242087751419,657.8442
"335","WR15-7257",570.7124,563.607717424272,570.7124
"336","WR15-7260",627.2355,580.367132548109,627.2355
"337","WR15-7262",592.5339,571.289440358715,592.5339
"338","WR15-7270",568.3014,589.577561610145,568.3014
"339","WR15-7273",616.753,614.341027790701,616.753
"340","WR15-7282",576.8369,550.34602194767,576.8369
"341","WR15-7287",629.903,596.22556618792,629.903
"342","WR15-7292",601.1086,586.099124994601,601.1086
"343","WR15-7295",625.2174,642.913026264309,625.2174
"344","WR15-7301",640.6769,627.793987820707,640.6769
"345","WR15-7303",576.0859,539.527237930002,576.0859
"346","WR15-7306",333.9469,640.561582916573,600
"347","WR15-7306B",706.5084,231.529369458385,706.5084
"348","WR15-7308",649.9402,659.665425382694,649.9402
"349","WR15-7321",625.4832,615.826984201473,625.4832
"350","WR15-7326",649.5646,617.710156006439,649.5646
"351","WR15-7332",546.2141,500.271957852217,546.2141
"352","WR15-7335",626.2401,620.119640765363,626.2401
"353","WR15-7340",530.9218,495.564391034908,530.9218
"354","WR15-7343",619.8821,608.535353479877,619.8821
"355","WR15-7349",579.266,535.322733300606,579.266
"356","WR15-7356",582.575,606.04895813308,582.575
"357","WR15-7362",613.1256,644.573852973605,613.1256
"358","WR15-7370",672.0078,666.782433354898,672.0078
"359","WR15-7371",556.4785,305.913250019847,556.4785
"360","WR15-7373",637.7638,638.893463383822,637.7638
"361","WR15-7374",618.6255,636.345283613721,618.6255
"362","WR15-7375",661.5871,646.848157340829,661.5871
"363","WR15-80117",557.4803,532.802451372034,557.4803
"364","WR15-80122",568.9925,583.160551798875,568.9925
"365","WR15-80136",615.5427,604.829064546318,615.5427
"366","WR15-80137",608.5763,600.527812269351,608.5763
"367","WR15-80140",754.5953,760.922587041257,754.5953
"368","WR15-80144",829.5219,277.906690127875,829.5219
"369","WR15-80145",693.6022,689.390095943552,693.6022
"370","WR15-80148",622.3935,625.082367002224,622.3935
"371","WR15-80157",642.7486,624.75176033679,642.7486
"372","WR15-80160",536.3282,701.946907130768,701.946907130768
"373","WR15-80163",639.4688,594.611220753481,639.4688
"374","WR15-80171",710.6453,732.045338328737,710.6453
"375","WR15-80181",706.4393,653.982421725936,706.4393
"376","WR15-80189",616.9397,600.925596228083,616.9397
"377","WR15-80190",574.1448,571.697844802588,574.1448
"378","WR15-80192",529.9998,523.468562571313,529.9998
"379","WR15-80196",541.2764,512.277168345425,541.2764
"380","WR15-80200",474.9131,841.356794311562,841.356794311562
"381","WR15-80201",652.8476,709.898862629259,652.8476
"382","WR15-80203",313.6204,591.489041742653,591.489041742653
"383","WR15-80204",601.8338,589.134429347058,601.8338
"384","WR15-80205",650.0522,613.706939881044,650.0522
"385","WR15-80206",614.6814,620.07395221412,614.6814
"386","WR15-80207",593.2623,706.049043829261,593.2623
"387","WR15-80215",646.9461,643.887806742279,646.9461
"388","WR15-80217",624.5801,649.707822262377,624.5801
"389","WR15-80218",594.6755,595.190357186966,594.6755
"390","WR15-80223",605.7904,590.987307268419,605.7904
"391","WR15-80224",633.4075,595.056031797676,633.4075
"392","WR15-80225",620.9725,607.398905026966,620.9725
"393","WR15-80226",603.3999,618.095379793109,603.3999
"394","WR15-80227",551.1607,570.111056311343,551.1607
"395","WR15-80229",649.2268,628.559906100003,649.2268
"396","WR15-80230",618.9215,628.828662837807,618.9215
"397","WR15-80232",571.234,551.79067185037,571.234
"398","WR15-80233",656.1779,633.321812439393,656.1779
"399","WR15-80234",389.1643,666.615565118362,666.615565118362
"400","WR15-80237",594.0265,604.429212388944,594.0265
"401","WR15-80241",623.0103,491.670360126783,623.0103
"402","WR15-80243",419.9615,621.956030606749,621.956030606749
"403","WR15-80244",367.3347,618.132076217887,618.132076217887
"404","WR15-80246",661.4311,623.064950373138,661.4311
"405","WR15-80247",661.8908,643.659535403287,661.8908
"406","WR15-80248",593.7064,578.598476945326,593.7064
"407","WR15-80249",610.7435,566.867326427997,610.7435
"408","WR15-80251",638.4035,657.870299258733,638.4035
"409","WR15-80252",590.1373,NA,590.1373
"410","WR15-80258",478.7555,444.82808511785,478.7555
"411","WR15-80259",657.2315,694.287057753686,657.2315
"412","WR15-80261",710.3337,703.263881079759,710.3337
"413","WR15-80262",647.8496,650.424892430298,647.8496
"414","WR15-80263",629.7882,599.004953849191,629.7882
"415","WR15-80264",651.1825,638.019505576742,651.1825
"416","WR15-80265",681.3564,666.123288663239,681.3564
"417","WR15-80266",675.9218,692.871648747902,675.9218
"418","WR15-80268",596.9408,580.185801629994,596.9408
"419","WR15-80272",658.0186,697.03797752244,658.0186
"420","WR15-80275",585.7851,571.412667614306,585.7851
"421","WR15-80276",610.8857,645.283267555331,610.8857
"422","WR15-80278",606.2256,569.141398748329,606.2256
"423","WR15-80282",639.0068,615.438964399984,639.0068
"424","WR15-80283",607.8077,590.15583018448,607.8077
"425","WR15-80284",595.9164,614.23817948153,614.23817948153
"426","WR15-80285",612.4976,606.105235991493,612.4976
"427","WR15-80286",605.8189,603.500049120214,605.8189
"428","WR15-80294",622.7726,623.421882713784,622.7726
"429","WR15-80295",539.8871,531.062214395626,539.8871
"430","WR15-80297",618.4371,629.82484035139,618.4371
"431","WR15-80299",586.4086,565.043100284159,586.4086
"432","WR15-80305",657.4784,666.757759025504,657.4784
"433","WR15-80310",701.814,701.788289677871,701.814
"434","WR15-80311",546.0635,614.404922971059,546.0635
"435","WR15-80312",623.1593,632.467784845653,623.1593
"436","WR15-80315",524.4623,640.737259327071,640.737259327071
"437","WR15-80318",596.7239,598.165252715829,596.7239
"438","WR15-80320",696.7817,674.539673304118,696.7817
"439","WR15-80324",577.4477,584.267982527012,577.4477
"440","WR15-80326",686.3091,665.239563673866,686.3091
"441","WR15-80330",622.1001,597.386003168189,622.1001
"442","WR15-80332",587.5867,583.257003052966,587.5867
"443","WR15-80334",598.1903,565.444270752686,598.1903
"444","WR15-80336",739.0142,739.398574956239,739.0142
"445","WR15-80337",576.2718,614.166829813549,576.2718
"446","WR15-80341",668.5118,663.794471414437,668.5118
"447","WR15-80342",599.4583,578.786085022847,599.4583
"448","WR15-80359",366.8406,668.154626935462,668.154626935462
"449","WR15-80364",595.5605,569.73835237504,595.5605
"450","WR15-80366",591.3417,582.785356427045,591.3417
"451","WR15-80368",348.5742,631.800759256874,631.800759256874
"452","WR15-80375",618.5984,573.395615624756,618.5984
"453","WR15-80395",630.391,652.138138876371,630.391
"454","WR15-80396",322.4928,592.997012015584,592.997012015584
"455","WR15-80398",592.6463,567.970414449699,592.6463
"456","WR15-80400",619.1449,606.641865448534,619.1449
"457","WR15-80424",627.2051,588.771049998421,627.2051
"458","WR15-80425",567.8067,529.482799196953,567.8067
"459","WR15-80427",626.9718,700.872810654664,626.9718
"460","WR15-80431",597.1358,620.692548651609,597.1358
"461","WR15-80439",678.4105,623.651610645558,678.4105
"462","WR15-80470",673.2948,646.342987980874,673.2948
"463","WR15-80471",625.3522,614.97047763979,625.3522
"464","WR15-80474",623.3946,587.390315850431,623.3946
"465","WR15-80475",653.2997,630.601440351951,653.2997
"466","WR15-80491",694.5492,689.841733360719,694.5492
"467","WR15-80498",599.8479,594.297491668144,599.8479
"468","WR15-80509",588.7289,569.342296053241,588.7289
"469","WR15-80530",582.1855,559.940048233242,582.1855
"470","WR15-80539",613.5229,580.558949847567,613.5229
"471","WR15-80611",583.634,583.797402226925,583.634
"472","WR15-80616",360.4718,647.653426147418,590
"473","WR16.5001",822.0982,816.236079023472,822.0982
"474","WR16.5002",786.2538,782.574608572654,786.2538
"475","WR16.5003",909.8808,880.147901542641,909.8808
"476","WR16.5004",755.0313,754.614450313668,755.0313
"477","WR16.5005",505.372,514.672085552803,505.372
"478","WR16.5006",666.1625,693.979941211701,666.1625
"479","WR16.5007",632.6363,622.752423829182,632.6363
"480","WR16.5008",581.6444,550.496819717242,581.6444
"481","WR16.5011",653.4657,653.272446431788,653.4657
"482","WR16.5012",639.3479,638.843777206224,639.3479
"483","WR16.5013",905.3261,900.562406828831,905.3261
"484","WR16.5014",647.8381,630.548582636223,647.8381
"485","WR16.5015",638.2908,627.672154078762,638.2908
"486","WR16.5018",621.8776,628.676882411329,621.8776
"487","WR16.5019",668.638,647.470329983686,668.638
"488","WR16.5022",703.1455,683.525513190304,703.1455
"489","WR16.5025",615.3691,602.202238222672,615.3691
"490","WR16.5026",632.6052,618.986123218104,632.6052
"491","WR16.5029",625.6716,610.050802001221,625.6716
"492","WR16.5030",858.4806,1202.82300733852,858.4806
"493","WR16.5031",591.9335,575.270531852832,591.9335
"494","WR16.5032",1018.118,1024.85040470195,1018.118
"495","WR16.5033",692.4201,687.260790640098,692.4201
"496","WR16.5034",677.5067,662.910764304609,677.5067
"497","WR16.5036",616.0886,589.858346860947,616.0886
"498","WR16.5037",675.1165,671.685030159033,675.1165
"499","WR16.5038",586.1932,565.176933796018,586.1932
"500","WR16.5039",582.3662,568.355507800624,582.3662
"501","WR16.5043",659.6404,662.920252333747,659.6404
"502","WR16.5046",911.2679,885.35869678693,911.2679
"503","WR16.5047",797.1684,794.919114239727,797.1684
"504","WR16.5048",750.6165,753.857945525078,750.6165
"505","WR16.5049",585.8494,606.360101006376,585.8494
"506","WR16.5050",617.939,619.522646220687,617.939
"507","WR16.5051",664.1172,654.479036666545,664.1172
"508","WR16.5052",571.8079,622.276499326477,571.8079
"509","WR16.5055",648.3989,629.919936003456,648.3989
"510","WR16.5056",611.7062,571.828969187748,611.7062
"511","WR16.5057",622.6971,611.253311776783,622.6971
"512","WR16.5058",624.0803,629.769931230963,624.0803
"513","WR16.5062",571.5249,557.671523695805,571.5249
"514","WR16.5063",561.5126,472.615448719237,561.5126
"515","WR16.5064",630.2872,612.520312263805,630.2872
"516","WR16.5067",604.8487,608.42811210545,604.8487
"517","WR16.5068",603.2229,622.242949545464,603.2229
"518","WR16.5069",729.0149,680.497826483137,729.0149
"519","WR16.5070",561.9101,555.341059211185,561.9101
