"","Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"312","WR15-7059",2012,841,NA,NA,NA,198.147,"DEL"
"313","WR15-7064",2012,898,NA,NA,NA,NA,"SAC"
"314","WR15-7069",2012,902,NA,NA,NA,184.622,"DEL"
"315","WR15-7071",2012,750,NA,NA,NA,NA,"SAC"
"316","WR15-7074",2012,745,NA,NA,NA,NA,"SAC"
"317","WR15-7081",2012,782,NA,NA,NA,NA,"SAC"
"318","WR15-7086",2012,740,NA,NA,NA,NA,"SAC"
"319","WR15-7091",2012,760,NA,NA,NA,NA,"SAC"
"320","WR15-7099",2012,735,NA,NA,NA,NA,"SAC"
"321","WR15-7102",2012,730,NA,NA,44.296,NA,"X"
"322","WR15-7107",2012,702,NA,NA,NA,NA,"SAC"
"323","WR15-7110",2012,668,NA,NA,NA,NA,"SAC"
"324","WR15-7113",2012,684,NA,NA,NA,NA,"SAC"
"325","WR15-7116",2012,730,NA,NA,NA,NA,"SAC"
"326","WR15-7120",2012,800,NA,NA,NA,NA,"SAC"
"327","WR15-7125",2012,735,257.461,NA,NA,NA,"LAS"
"328","WR15-7129",2012,722,NA,NA,NA,NA,"SAC"
"329","WR15-7142",2012,690,NA,NA,NA,NA,"SAC"
"330","WR15-7146",2012,750,NA,NA,NA,NA,"SAC"
"331","WR15-7150",2012,765,NA,NA,NA,245.824,"DEL"
"332","WR15-7155",2012,759,NA,NA,NA,233.989,"DEL"
"333","WR15-7160",2012,759,NA,NA,NA,NA,"SAC"
"334","WR15-7166",2012,800,NA,NA,NA,177.068,"DEL"
"335","WR15-7172",2012,719,NA,NA,NA,NA,"SAC"
"336","WR15-7179",2012,900,NA,NA,NA,NA,"SAC"
"337","WR15-7187",2012,936,NA,NA,NA,NA,"SAC"
"338","WR15-7189",2012,677,NA,NA,NA,NA,"SAC"
"339","WR15-7193",2012,682,NA,NA,NA,NA,"SAC"
"340","WR15-7198",2012,761,NA,NA,NA,NA,"SAC"
"341","WR15-7202",2011,980,NA,NA,NA,NA,"SAC"
"342","WR15-7206",2012,743,NA,NA,NA,177.735,"DEL"
"343","WR15-7207",2012,690,NA,NA,NA,NA,"SAC"
"344","WR15-7212",2012,770,NA,NA,NA,NA,"SAC"
"345","WR15-7216",2012,690,NA,NA,NA,NA,"SAC"
"346","WR15-7239",2012,681,NA,NA,NA,NA,"SAC"
"347","WR15-7244",2012,735,NA,NA,NA,NA,"SAC"
